Zip Code,City,County,Population â
12545,Millbrook,Dutchess County,4521
14750,Lakewood,Chautauqua County,4521
13637,Evans Mills,Jefferson County,4493
10925,Greenwood Lake,Orange County,4466
13074,Hannibal,Oswego County,4453
10548,Montrose,Westchester County,4446
10916,Campbell Hall,Orange County,4445
11804,Old Bethpage,Nassau County,4443
13308,Blossvale,Oneida County,4429
13849,Unadilla,Otsego County,4424
14891,Watkins Glen,Schuyler County,4416
12885,Warrensburg,Warren County,4411
14042,Delevan,Cattaraugus County,4403
12148,Rexford,Saratoga County,4371
10963,Otisville,Orange County,4347
10524,Garrison,Putnam County,4344
13140,Port Byron,Cayuga County,4335
11954,Montauk,Suffolk County,4322
12134,Northville,Hamilton County,4304
13833,Port Crane,Broome County,4297
13460,Sherburne,Chenango County,4293
10464,Bronx,Bronx County,4292
13803,Marathon,Cortland County,4278
11568,Old Westbury,Nassau County,4272
